이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,PER
최지광,1.21,57,0,0,0,3,8,2,10,59.8,21,20,258,53,5,3,4,33,3,5,53,-1,2,-7.32,-0.38,-0.55,59.4,-11.3,1.21,-0.67,158
김승회,-0.21,0,0,0,0,0,-1,0,-4,4,-2,-1,8,3,1,3,-5,-7,0,-3,12,0,2,-0.39,-2.57,-0.17,-12.4,49.5,-0.21,0.88,70
김대현,2.18,16,0,0,-19,3,-6,0,8,-39.8,-64,-60,-214,-82,-14,-4,-13,-21,1,-5,-25,-2,-4,-3.7,-2.12,-0.47,40.1,21.2,2.18,5.22,87.5
박세웅,2.18,-2,0,0,0,2,1,0,0,11,-21,-26,5,-17,-8,1,-7,-6,0,-4,4,0,1,-5.72,-3.13,-0.81,47.2,36.1,2.18,1.76,0
박희수,0.08,-1,0,0,0,-1,-1,1,-2,-4.8,-6,-8,-22,-6,-6,0,0,-2,0,0,-16,0,0,-2.01,0.5,-0.05,178.3,-36.1,0.08,1.23,-22.5
김건국,0.43,32,0,0,4,2,3,0,3,56,31,30,252,62,6,1,4,27,0,5,34,0,3,1.93,0.92,0.47,-112,-51.5,0.43,-0.45,80
전유수,0.68,46,0,0,1,3,0,1,7,48.1,20,14,199,45,11,1,-1,10,4,2,31,0,6,-2.11,-2.78,-0.34,26.4,40.8,0.68,-0.74,67
손승락,-1.39,-4,0,0,0,1,-2,-19,2,-5,1,-2,-17,1,-4,1,2,-1,-1,2,-16,0,0,0.03,0.7,0.12,-27,-65.1,-1.39,-1.73,
한현희,-1.99,31,0,0,-28,-4,-2,0,24,-111,-72,-68,-505,-158,-32,-2,-21,-29,1,-13,-56,1,-4,-1.38,-2.23,-0.31,13.7,34.2,-1.99,0.91,-9.4
진해수,1.32,7,0,0,0,1,-2,0,6,-0.2,-20,-19,-22,-19,-3,2,-5,3,-2,-2,1,0,-1,-3.86,-1.75,-0.34,52.7,22.3,1.32,1.44,31.5
함덕주,-2.13,-1,0,0,0,-4,2,-11,4,-12.8,1,-1,-57,-19,-2,0,2,-3,1,-3,-27,0,-2,0.5,0.71,-0.08,-52.3,-40,-2.13,-0.44,-19.2
윤성환,1.34,3,1,1,3,3,4,0,0,28,-12,-14,101,4,4,3,-14,18,0,-2,-24,0,1,-2.21,-1.53,-0.17,15,4.4,1.34,2.5,0
박상원,-1.63,-8,0,0,0,-3,2,0,3,-1,12,12,0,-7,-7,0,2,7,0,1,-23,0,-2,1.87,1.19,0.03,-147.8,-60.2,-1.63,0.01,22.2
이승호,0.22,-9,1,1,19,7,2,0,-4,77.2,42,33,330,90,18,3,2,29,-1,-4,44,3,-3,-1.12,-1.79,0.04,0.5,11.2,0.22,-0.48,70
박진형,1.09,28,0,0,0,-1,-1,5,4,27.1,7,9,100,17,0,-3,5,3,3,-1,29,0,5,-2.21,-1.27,-1.13,20.7,6.5,1.09,0.38,28.6
이영준,0.91,27,0,0,0,1,1,0,1,31.1,6,6,121,33,4,2,0,2,0,0,17,0,0,-19.53,-3.62,-3.18,116.5,71.9,0.91,0.8,89.3
임현준,0.08,31,0,0,0,1,-1,0,5,14.9,7,4,61,14,5,0,-1,1,-1,-2,9,0,0,-0.5,-1.56,-0.03,-8.3,18.9,0.08,0.27,100
고효준,0.84,32,0,0,0,0,4,0,8,30,7,8,127,25,5,0,3,13,6,3,33,0,6,-2.2,-0.83,-0.22,13,-3.9,0.84,-0.78,11
임기준,-0.82,-3,0,0,0,-3,1,-2,-2,-19.8,-10,-8,-81,-27,0,-1,-6,-7,0,1,-21,-1,-1,-0.1,-1.15,-0.15,-23.2,4.3,-0.82,-1,-13
김동준,0.29,0,0,0,2,6,1,-2,1,22.8,3,3,82,16,3,-1,-5,5,0,-4,14,0,1,-1.54,-2.54,-0.23,6.7,26.8,0.29,0.96,42.9
배재환,-0.19,31,0,0,0,0,2,-1,18,18.1,8,4,78,12,4,-1,-3,6,1,6,27,1,-1,-0.86,-2.33,-0.25,0.3,24.5,-0.19,0.45,144.2
김진영,0.69,2,0,0,3,0,4,0,0,15.1,2,2,68,14,6,0,0,12,0,1,5,0,0,-3.89,0.3,0.11,35.6,-31.2,0.69,0.31,6
김민,0.11,18,0,0,17,2,9,0,0,113.1,62,62,496,135,16,4,12,40,0,-2,66,2,-1,-0.1,-1.43,-0.15,-21.2,1.6,0.11,-1.43,88
김민수,0.45,26,0,0,11,8,5,2,1,80.2,45,44,350,86,12,3,10,29,2,2,55,0,4,-4.04,-0.1,-0.57,24.6,-21.4,0.45,-0.54,117
강윤구,0.55,-2,0,0,0,-4,-2,-1,-2,1.9,-12,-9,-1,1,-6,3,-6,-2,2,3,-16,0,-2,-1.62,-1.35,-0.06,9,7.4,0.55,1.11,29.2
원종현,-0.47,1,0,0,0,0,-3,29,-17,-4.1,-7,-10,-19,-16,4,1,-3,-5,1,1,23,0,0,-1.13,-2,-0.23,3.7,31.1,-0.47,1.95,30
신재웅,-1.28,-34,0,0,1,-1,-3,-16,-6,-30.8,-15,-8,-138,-35,1,0,-4,-18,0,0,-29,0,-3,0.55,-0.87,-0.37,-61.8,-2.9,-1.28,0.65,-35.2
김선기,0.71,-14,0,0,6,3,0,0,-1,5.8,-9,-7,2,-7,-2,0,-3,-7,-1,4,-4,0,-1,-3.76,-2.32,-0.92,34.1,17.2,0.71,1,40
신재영,0.73,-14,0,0,-15,-7,-9,0,-1,-72,-66,-64,-320,-99,-13,0,-30,-14,-2,-4,-32,0,1,-3.07,-3.88,-0.07,36.1,44.6,0.73,2.57,-30
박치국,-1.36,-6,0,0,0,1,-3,0,-3,-15,-4,-1,-64,-16,1,1,0,-1,-2,-4,-25,-1,2,0.87,0.38,0.08,-48.2,-35,-1.36,-1.34,-15.8
문광은,0.57,26,0,0,0,1,0,1,3,26.8,6,6,106,24,4,1,0,8,0,1,21,0,1,-8.06,-6.15,-0.94,58.9,47.8,0.57,0.89,25
최채흥,-0.46,20,0,0,11,2,5,0,2,78.2,56,47,358,97,16,4,5,28,1,0,64,0,6,1.6,-1.36,0.17,-74.8,8.9,-0.46,-1.27,88
조무근,0.34,6,0,0,0,-1,0,0,0,9,1,1,37,4,1,1,0,4,0,1,4,0,0,-11.64,-9.48,-3.36,186.6,49.9,0.34,-0.05,
여건욱,-0.01,7,0,0,-1,0,0,0,0,7,1,1,27,8,2,1,1,0,-1,-3,9,0,-2,-0.82,-0.97,-0.09,-1.8,1.5,-0.01,-0.07,32.1
강지광,0.48,21,0,0,0,2,4,0,6,24.1,7,5,94,16,3,0,-1,7,1,0,12,0,3,-17.05,-6.77,-2.72,82.7,70.9,0.48,0.51,77.7
임창민,0.38,12,0,0,0,0,0,-3,2,8,0,-1,31,6,-2,0,-1,6,0,1,1,0,1,-4.03,-0.86,0.04,94.9,-5.3,0.38,0.9,-20
권오준,-0.82,-4,0,0,0,0,-1,-1,1,-0.1,4,6,-2,6,3,1,0,0,0,-1,-26,0,-2,1.28,0.72,0.15,-51.5,-33.6,-0.82,-0.07,-47
배영수,0.24,26,0,0,-11,-1,-1,0,0,-10.1,-17,-18,-57,-19,-5,-3,-2,-4,1,-3,-37,0,3,-2.06,0.28,-0.16,10,-32,0.24,0.01,
홍성민,0.29,8,0,0,0,0,0,0,1,9,1,1,39,11,4,-1,-1,-1,0,1,4,0,2,-8.01,-4.03,-0.57,55.9,84.3,0.29,-0.06,-16.7
이동현,0.5,-31,0,0,0,-2,-1,0,-4,-31.1,-35,-32,-147,-43,-10,0,-6,-7,0,-3,-18,0,0,-7.93,-4.14,-0.34,236.1,-89.7,0.5,,
